age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
34;technician;single;secondary;no;1279;yes;no;cellular;21;oct;339;3;91;10;success;yes
47;admin.;married;secondary;no;2601;no;no;cellular;24;sep;261;1;-1;0;unknown;yes
47;admin.;married;secondary;no;0;no;no;cellular;10;nov;213;1;190;1;other;yes
29;technician;single;secondary;no;113;no;no;cellular;12;feb;328;2;183;4;success;yes
41;entrepreneur;married;primary;no;39;yes;no;cellular;21;nov;549;2;-1;0;unknown;yes
63;retired;married;secondary;no;1612;no;no;telephone;17;feb;233;2;-1;0;unknown;yes
66;housemaid;married;primary;no;1230;no;no;cellular;16;jun;288;6;181;3;success;yes
33;technician;married;tertiary;no;0;no;no;cellular;30;apr;227;2;-1;0;unknown;yes
24;management;single;tertiary;no;1030;no;no;cellular;4;mar;396;2;-1;0;unknown;yes
26;management;single;tertiary;no;3944;yes;no;cellular;14;may;974;2;-1;0;unknown;yes
31;technician;single;secondary;no;846;no;no;cellular;26;may;405;3;205;2;failure;yes
28;admin.;single;secondary;no;0;yes;yes;cellular;18;may;390;5;-1;0;unknown;yes
49;admin.;single;tertiary;no;228;yes;no;cellular;2;mar;368;1;-1;0;unknown;yes
32;admin.;married;secondary;no;752;yes;no;cellular;6;may;519;2;166;5;failure;yes
27;technician;single;secondary;no;158;no;no;unknown;1;jul;650;2;-1;0;unknown;yes
38;technician;married;secondary;no;0;yes;no;cellular;22;jul;1545;1;-1;0;unknown;yes
30;entrepreneur;single;secondary;no;732;no;no;cellular;3;feb;1404;4;-1;0;unknown;yes
26;services;married;secondary;no;77;yes;no;cellular;15;may;619;1;340;4;failure;yes
51;blue-collar;married;primary;no;7098;no;no;cellular;6;aug;1471;7;-1;0;unknown;yes
50;management;married;tertiary;no;346;no;no;cellular;6;feb;178;1;-1;0;unknown;yes
35;blue-collar;divorced;primary;no;1792;yes;no;cellular;31;jul;630;6;-1;0;unknown;yes
35;self-employed;married;secondary;no;5613;yes;no;cellular;28;jul;699;3;-1;0;unknown;yes
33;management;single;tertiary;no;0;yes;no;cellular;13;may;585;1;-1;0;unknown;yes
24;blue-collar;married;primary;no;656;yes;no;unknown;16;may;894;1;-1;0;unknown;yes
20;blue-collar;single;secondary;no;423;yes;no;cellular;16;apr;498;1;-1;0;unknown;yes
49;management;married;tertiary;no;64;no;no;unknown;11;jun;586;1;-1;0;unknown;yes
53;management;married;unknown;no;2240;yes;no;cellular;2;jun;282;2;385;1;success;yes
36;admin.;married;secondary;no;96;no;no;cellular;2;feb;302;1;-1;0;unknown;yes
35;housemaid;married;tertiary;no;1265;yes;no;cellular;15;may;326;5;179;4;failure;yes
36;management;single;tertiary;no;2646;no;no;cellular;13;oct;169;1;182;10;success;yes
32;blue-collar;married;secondary;no;1879;no;no;cellular;6;feb;591;8;-1;0;unknown;yes
36;admin.;married;secondary;no;96;no;no;cellular;30;apr;208;1;87;1;success;yes
26;blue-collar;single;primary;no;409;yes;no;cellular;21;jul;577;2;-1;0;unknown;yes
27;management;single;tertiary;no;6791;no;no;cellular;5;aug;179;2;69;26;other;yes
49;admin.;divorced;secondary;no;168;yes;yes;unknown;8;may;513;1;-1;0;unknown;yes
45;entrepreneur;divorced;tertiary;no;-395;yes;no;unknown;13;may;470;1;-1;0;unknown;yes
29;unemployed;single;primary;no;1374;no;no;cellular;14;may;1205;2;178;7;success;yes
27;blue-collar;married;secondary;no;4333;no;no;cellular;20;apr;163;1;-1;0;unknown;yes
35;blue-collar;married;tertiary;no;2999;no;no;unknown;12;jun;1141;6;-1;0;unknown;yes
46;management;married;tertiary;no;273;yes;no;cellular;10;may;583;6;53;6;success;yes
32;management;single;tertiary;no;2915;no;no;cellular;8;sep;519;1;131;2;failure;yes
42;management;married;primary;no;5310;yes;no;cellular;25;nov;968;2;97;4;success;yes
55;blue-collar;divorced;secondary;no;1613;yes;no;cellular;3;apr;296;1;270;3;failure;yes
35;management;single;tertiary;no;3544;yes;no;cellular;8;jun;380;1;-1;0;unknown;yes
49;services;married;primary;no;0;yes;no;cellular;6;may;445;2;166;3;failure;yes
64;retired;married;tertiary;no;380;no;no;cellular;25;aug;479;1;-1;0;unknown;yes
40;technician;divorced;tertiary;no;0;no;no;unknown;17;jun;522;1;-1;0;unknown;yes
44;admin.;divorced;primary;no;429;yes;no;telephone;23;oct;80;1;-1;0;unknown;yes
46;management;divorced;tertiary;no;461;no;no;cellular;30;dec;369;2;-1;0;unknown;yes
67;retired;divorced;secondary;no;704;no;no;cellular;3;nov;537;1;-1;0;unknown;yes
30;admin.;married;secondary;no;0;no;no;cellular;1;jun;318;1;-1;0;unknown;yes
75;retired;divorced;secondary;no;1341;no;no;cellular;18;dec;415;7;-1;0;unknown;yes
46;technician;married;secondary;no;57;no;no;unknown;28;may;796;1;-1;0;unknown;yes
48;blue-collar;married;secondary;no;1596;yes;no;unknown;14;may;760;1;-1;0;unknown;yes
31;technician;married;secondary;no;1173;yes;no;cellular;14;jul;444;3;-1;0;unknown;yes
55;housemaid;married;unknown;no;366;no;no;cellular;5;jun;365;3;57;2;other;yes
43;technician;married;secondary;no;1358;no;no;cellular;10;mar;159;3;-1;0;unknown;yes
44;management;married;unknown;no;282;no;no;cellular;6;oct;296;3;-1;0;unknown;yes
49;admin.;married;secondary;no;10250;yes;no;telephone;24;oct;97;1;-1;0;unknown;yes
27;admin.;married;secondary;no;1596;no;no;cellular;1;sep;82;1;-1;0;unknown;yes
54;unemployed;married;secondary;no;377;no;no;cellular;8;apr;1134;1;-1;0;unknown;yes
35;management;single;tertiary;no;-324;no;yes;cellular;21;jul;985;11;-1;0;unknown;yes
28;technician;single;secondary;no;598;yes;no;cellular;2;mar;177;1;288;2;failure;yes
40;blue-collar;married;primary;no;57;yes;no;cellular;31;jul;1007;9;-1;0;unknown;yes
31;blue-collar;single;secondary;no;54;yes;no;cellular;29;jun;401;1;-1;0;unknown;yes
35;blue-collar;married;secondary;no;860;yes;no;unknown;5;jun;884;4;-1;0;unknown;yes
42;technician;single;unknown;no;11115;no;no;cellular;10;aug;187;1;102;1;success;yes
34;admin.;married;secondary;no;48;yes;no;cellular;7;may;1806;2;287;3;other;yes
43;blue-collar;married;secondary;no;2160;no;no;cellular;8;sep;261;1;98;1;success;yes
39;blue-collar;married;tertiary;no;597;no;no;cellular;16;jul;686;6;-1;0;unknown;yes
22;student;single;secondary;no;254;no;no;cellular;13;jan;143;2;-1;0;unknown;yes
30;admin.;single;tertiary;no;305;no;no;cellular;30;apr;633;1;85;2;success;yes
23;technician;single;secondary;no;4;yes;no;cellular;8;may;763;1;-1;0;unknown;yes
51;blue-collar;married;secondary;no;955;no;yes;cellular;17;dec;221;3;-1;0;unknown;yes
49;technician;divorced;secondary;no;305;no;no;cellular;24;jul;367;2;-1;0;unknown;yes
21;student;single;secondary;no;215;no;no;cellular;24;may;382;1;89;7;success;yes
25;student;single;secondary;no;154;no;no;cellular;3;mar;141;1;180;2;failure;yes
27;blue-collar;single;primary;no;232;yes;no;cellular;26;oct;701;2;-1;0;unknown;yes
29;admin.;single;secondary;no;265;yes;no;cellular;25;nov;414;1;184;1;failure;yes
55;admin.;married;secondary;no;8304;no;no;cellular;1;sep;193;1;92;1;success;yes
33;technician;married;secondary;no;806;no;no;cellular;17;apr;108;1;-1;0;unknown;yes
47;admin.;divorced;secondary;no;555;yes;yes;telephone;17;oct;478;1;-1;0;unknown;yes
35;blue-collar;married;secondary;no;205;yes;yes;cellular;15;may;1313;7;312;1;failure;yes
52;technician;married;tertiary;no;2557;no;no;cellular;8;jul;340;1;156;1;other;yes
54;management;married;tertiary;no;1624;no;no;cellular;12;may;166;3;182;10;success;yes
44;management;married;tertiary;no;792;no;no;cellular;25;aug;630;7;-1;0;unknown;yes
36;management;divorced;tertiary;no;1057;no;no;cellular;19;jul;230;2;164;2;failure;yes
44;blue-collar;married;unknown;no;146;yes;no;unknown;15;may;483;1;-1;0;unknown;yes
33;admin.;married;secondary;no;82;yes;no;cellular;25;jul;735;1;-1;0;unknown;yes
47;blue-collar;married;secondary;no;1230;yes;no;cellular;30;apr;412;1;169;1;success;yes
36;self-employed;married;tertiary;no;506;no;no;cellular;3;nov;217;1;70;2;failure;yes
35;services;single;secondary;no;719;yes;no;cellular;18;may;1359;3;368;3;failure;yes
32;blue-collar;married;primary;no;634;no;no;cellular;29;jan;696;1;-1;0;unknown;yes
25;student;single;unknown;no;3;no;no;cellular;26;may;170;1;-1;0;unknown;yes
31;technician;married;secondary;no;180;no;no;cellular;17;mar;299;2;-1;0;unknown;yes
33;admin.;married;secondary;no;920;no;no;cellular;30;apr;344;1;-1;0;unknown;yes
51;unemployed;married;secondary;no;234;no;no;cellular;22;aug;735;1;-1;0;unknown;yes
55;blue-collar;married;unknown;no;890;no;no;cellular;22;aug;1329;2;-1;0;unknown;yes
60;retired;divorced;tertiary;no;4;yes;no;cellular;2;dec;415;1;190;5;failure;yes
77;retired;married;secondary;no;638;no;no;cellular;11;feb;288;1;188;1;success;yes
34;services;single;secondary;no;-374;yes;no;cellular;11;may;672;1;-1;0;unknown;yes
28;admin.;single;secondary;no;261;yes;yes;cellular;29;jan;254;3;142;6;success;yes
27;entrepreneur;married;tertiary;no;139;no;no;cellular;15;jul;448;5;-1;0;unknown;yes
30;blue-collar;single;secondary;no;1598;yes;no;cellular;10;jul;634;1;-1;0;unknown;yes
37;management;single;tertiary;no;1027;yes;no;cellular;1;oct;137;1;119;1;failure;yes
43;blue-collar;married;primary;no;3064;yes;no;cellular;20;nov;2453;2;-1;0;unknown;yes
59;admin.;married;secondary;no;1575;yes;no;cellular;22;aug;1241;11;-1;0;unknown;yes
47;retired;married;primary;no;1374;no;yes;telephone;8;may;479;2;359;3;failure;yes
41;technician;married;secondary;no;4004;no;no;cellular;17;apr;314;2;-1;0;unknown;yes
45;admin.;divorced;secondary;no;397;yes;yes;cellular;22;may;582;1;95;2;success;yes
52;blue-collar;married;secondary;no;7119;no;yes;telephone;20;nov;871;3;-1;0;unknown;yes
33;admin.;married;secondary;no;95;yes;no;cellular;30;apr;335;1;-1;0;unknown;yes
38;services;single;secondary;no;91;no;no;cellular;2;mar;207;1;-1;0;unknown;yes
40;management;married;secondary;no;754;no;yes;cellular;6;apr;635;1;-1;0;unknown;yes
29;blue-collar;single;primary;no;213;yes;no;unknown;6;jun;2653;3;-1;0;unknown;yes
29;housemaid;single;tertiary;no;2196;no;no;cellular;5;aug;215;1;-1;0;unknown;yes
35;technician;single;secondary;no;399;yes;no;cellular;13;may;496;2;345;3;failure;yes
62;blue-collar;married;secondary;no;180;no;no;cellular;15;apr;389;2;-1;0;unknown;yes
78;retired;married;unknown;no;4807;no;no;telephone;3;feb;892;2;104;4;success;yes
42;services;single;secondary;no;3403;yes;no;cellular;7;aug;215;1;99;1;failure;yes
29;management;single;tertiary;no;697;no;no;cellular;4;feb;206;1;-1;0;unknown;yes
57;blue-collar;married;unknown;no;3585;no;no;telephone;14;nov;172;1;-1;0;unknown;yes
30;technician;single;tertiary;no;53;no;no;cellular;29;apr;375;1;-1;0;unknown;yes
36;blue-collar;divorced;secondary;no;638;yes;no;unknown;16;jun;1395;2;-1;0;unknown;yes
53;entrepreneur;single;secondary;no;62;yes;no;unknown;30;may;1044;5;-1;0;unknown;yes
38;services;married;secondary;no;1970;yes;no;cellular;30;apr;701;1;176;1;success;yes
33;technician;single;secondary;no;3059;no;yes;cellular;6;aug;482;2;-1;0;unknown;yes
30;entrepreneur;married;secondary;no;12737;no;yes;cellular;19;nov;589;2;-1;0;unknown;yes
75;retired;married;tertiary;no;6027;no;no;cellular;16;nov;1248;2;94;2;failure;yes
68;retired;married;secondary;no;1146;no;no;cellular;16;nov;212;1;187;6;success;yes
26;student;single;tertiary;no;10086;no;no;cellular;21;apr;110;2;-1;0;unknown;yes
27;blue-collar;single;secondary;yes;-27;no;no;unknown;23;jun;498;2;-1;0;unknown;yes
52;retired;divorced;tertiary;no;3687;yes;yes;unknown;16;jun;741;4;-1;0;unknown;yes
31;management;divorced;tertiary;no;414;no;yes;cellular;16;jul;241;1;-1;0;unknown;yes
38;technician;divorced;tertiary;no;1805;no;no;unknown;9;jun;952;2;-1;0;unknown;yes
25;student;single;secondary;no;125;no;no;cellular;9;feb;215;1;92;2;success;yes
30;blue-collar;married;primary;no;201;yes;no;cellular;31;aug;219;1;157;12;failure;yes
47;self-employed;married;secondary;no;4420;yes;yes;cellular;20;nov;454;1;-1;0;unknown;yes
49;management;married;tertiary;no;4751;no;no;cellular;12;aug;884;4;-1;0;unknown;yes
28;technician;single;tertiary;no;4987;no;no;cellular;2;jun;924;2;113;21;success;yes
40;blue-collar;married;secondary;no;5060;no;no;unknown;9;nov;299;1;-1;0;unknown;yes
33;blue-collar;single;secondary;no;-416;yes;no;unknown;16;may;767;2;-1;0;unknown;yes
32;management;single;tertiary;no;2069;no;no;cellular;22;apr;545;1;-1;0;unknown;yes
32;blue-collar;married;primary;no;-454;yes;yes;cellular;18;may;801;5;355;2;failure;yes
82;retired;divorced;primary;no;0;no;no;telephone;15;mar;506;2;195;1;other;yes
53;services;married;secondary;no;6170;no;no;cellular;13;aug;838;4;-1;0;unknown;yes
32;blue-collar;married;secondary;no;476;yes;no;cellular;23;jul;956;9;-1;0;unknown;yes
34;admin.;married;secondary;no;2374;yes;no;cellular;9;feb;243;2;92;3;success;yes
64;management;married;unknown;no;2352;no;no;cellular;3;nov;181;4;183;7;success;yes
27;blue-collar;single;secondary;no;294;yes;yes;unknown;28;may;694;2;-1;0;unknown;yes
33;management;married;tertiary;no;1064;yes;no;cellular;13;may;562;1;-1;0;unknown;yes
28;student;single;tertiary;no;22;yes;no;cellular;15;may;536;2;-1;0;unknown;yes
61;self-employed;divorced;tertiary;no;52587;no;no;cellular;15;feb;394;3;189;1;success;yes
55;housemaid;married;secondary;no;127;yes;no;telephone;21;jul;1130;8;-1;0;unknown;yes
29;blue-collar;married;secondary;no;580;yes;yes;cellular;17;apr;1311;2;-1;0;unknown;yes
29;technician;single;secondary;no;1165;no;no;cellular;3;dec;244;2;184;1;success;yes
60;blue-collar;married;primary;no;493;no;no;cellular;18;aug;671;4;-1;0;unknown;yes
41;blue-collar;married;secondary;yes;720;no;yes;cellular;24;jul;651;1;-1;0;unknown;yes
49;management;single;tertiary;no;151;yes;no;cellular;8;jul;97;3;-1;0;unknown;yes
27;unemployed;single;secondary;no;771;no;no;cellular;21;oct;181;1;302;3;other;yes
32;technician;single;tertiary;no;5514;no;no;cellular;22;apr;319;1;182;1;success;yes
33;technician;divorced;secondary;no;801;no;no;cellular;7;aug;341;5;-1;0;unknown;yes
46;admin.;married;unknown;no;5511;no;no;cellular;26;jul;414;2;389;1;success;yes
28;admin.;single;secondary;no;2;yes;no;cellular;24;jul;454;1;-1;0;unknown;yes
24;technician;single;secondary;no;403;no;no;unknown;17;jun;247;1;-1;0;unknown;yes
37;services;married;secondary;no;981;no;no;cellular;7;jul;682;2;386;1;success;yes
45;management;married;tertiary;no;786;no;no;cellular;10;sep;84;3;-1;0;unknown;yes
42;blue-collar;married;secondary;no;413;yes;no;cellular;11;aug;589;2;-1;0;unknown;yes
30;student;single;secondary;no;1779;no;no;cellular;11;aug;233;1;433;1;success;yes
50;blue-collar;married;primary;no;4979;no;no;telephone;6;apr;180;1;-1;0;unknown;yes
38;admin.;married;secondary;no;1767;yes;no;cellular;9;jul;483;4;239;7;success;yes
47;management;married;tertiary;no;2351;no;no;cellular;10;mar;80;1;-1;0;unknown;yes
29;admin.;single;tertiary;no;41;yes;no;cellular;13;aug;148;2;-1;0;unknown;yes
41;management;married;secondary;no;280;yes;no;cellular;27;feb;87;2;-1;0;unknown;yes
36;self-employed;single;tertiary;no;1240;no;no;cellular;31;jul;812;3;-1;0;unknown;yes
37;technician;single;secondary;no;265;yes;yes;cellular;3;feb;140;1;366;2;failure;yes
49;admin.;married;secondary;no;3608;yes;no;cellular;30;apr;252;1;168;1;success;yes
28;technician;single;tertiary;no;386;no;no;cellular;25;may;867;1;-1;0;unknown;yes
26;blue-collar;single;secondary;no;82;yes;no;unknown;9;may;654;1;-1;0;unknown;yes
36;management;single;tertiary;no;4;yes;no;cellular;7;may;855;2;342;1;failure;yes
28;student;single;tertiary;no;5741;no;no;cellular;10;sep;1042;5;200;3;failure;yes
36;management;married;tertiary;no;1133;yes;no;cellular;4;aug;293;1;181;2;other;yes
30;management;married;tertiary;no;10884;no;no;cellular;4;may;333;2;-1;0;unknown;yes
36;blue-collar;married;primary;no;828;no;no;cellular;13;may;1512;1;345;8;failure;yes
26;management;single;tertiary;no;1646;no;no;cellular;12;apr;524;4;206;5;success;yes
38;housemaid;divorced;secondary;no;70;no;no;cellular;27;oct;255;3;148;1;success;yes
33;housemaid;married;primary;no;2054;no;no;cellular;25;aug;472;6;-1;0;unknown;yes
37;management;married;tertiary;no;4436;no;no;cellular;13;aug;846;5;-1;0;unknown;yes
77;retired;married;tertiary;no;699;no;no;cellular;13;aug;425;2;-1;0;unknown;yes
21;student;single;primary;no;423;no;no;telephone;18;jan;287;5;285;5;success;yes
30;management;single;tertiary;no;697;no;no;cellular;28;apr;545;2;181;8;success;yes
31;management;married;tertiary;no;2603;yes;no;cellular;11;feb;280;4;-1;0;unknown;yes
45;management;married;tertiary;no;242;no;no;cellular;30;apr;587;1;-1;0;unknown;yes
38;services;divorced;unknown;no;6360;no;no;unknown;20;jun;1409;2;-1;0;unknown;yes
45;blue-collar;married;unknown;no;1529;yes;no;cellular;13;nov;181;1;197;1;success;yes
37;unemployed;married;secondary;no;1978;no;no;cellular;9;sep;404;1;182;1;success;yes
43;blue-collar;married;primary;no;3917;no;no;cellular;2;mar;154;1;-1;0;unknown;yes
32;technician;single;secondary;no;1995;yes;no;cellular;20;apr;121;1;-1;0;unknown;yes
38;technician;married;secondary;no;318;no;no;cellular;5;aug;274;1;182;6;success;yes
28;admin.;single;unknown;no;2736;no;no;cellular;8;jul;705;1;-1;0;unknown;yes
46;technician;single;secondary;no;874;no;no;cellular;19;nov;819;3;-1;0;unknown;yes
35;admin.;divorced;secondary;no;1224;yes;no;cellular;3;nov;187;1;-1;0;unknown;yes
29;management;married;tertiary;no;199;yes;yes;unknown;7;may;1689;4;-1;0;unknown;yes
62;management;married;tertiary;no;0;no;no;cellular;3;sep;299;1;-1;0;unknown;yes
56;technician;married;secondary;no;2847;no;no;cellular;8;apr;327;1;-1;0;unknown;yes
57;retired;divorced;tertiary;no;734;no;no;cellular;6;aug;1357;4;-1;0;unknown;yes
38;unemployed;married;tertiary;no;2812;yes;no;cellular;30;apr;830;1;-1;0;unknown;yes
52;management;married;tertiary;no;40;no;no;cellular;19;nov;1265;3;-1;0;unknown;yes
35;blue-collar;married;secondary;no;262;no;no;cellular;15;mar;427;1;181;3;success;yes
31;management;single;tertiary;no;12857;yes;no;telephone;4;may;483;4;87;2;success;yes
42;entrepreneur;divorced;secondary;no;335;yes;no;cellular;12;may;580;1;-1;0;unknown;yes
30;technician;single;secondary;no;3286;yes;no;cellular;9;apr;743;1;-1;0;unknown;yes
31;management;married;tertiary;no;1224;yes;yes;cellular;24;jul;1441;2;-1;0;unknown;yes
45;blue-collar;married;secondary;no;1723;no;no;cellular;1;jun;166;2;-1;0;unknown;yes
49;management;married;tertiary;no;561;no;no;cellular;15;jun;173;1;-1;0;unknown;yes
33;management;married;tertiary;no;4570;no;no;cellular;22;aug;1258;2;-1;0;unknown;yes
31;blue-collar;married;secondary;no;152;yes;yes;cellular;8;jul;831;1;-1;0;unknown;yes
39;blue-collar;married;primary;no;70;no;no;unknown;8;may;813;1;-1;0;unknown;yes
37;services;married;secondary;no;466;yes;yes;cellular;25;may;377;1;-1;0;unknown;yes
59;retired;divorced;secondary;no;514;no;no;cellular;3;feb;261;1;-1;0;unknown;yes
33;services;single;tertiary;no;-452;no;no;cellular;29;jan;692;2;-1;0;unknown;yes
48;blue-collar;married;primary;no;719;no;yes;cellular;11;aug;418;5;-1;0;unknown;yes
39;technician;single;secondary;no;1104;no;no;cellular;7;aug;395;2;-1;0;unknown;yes
56;management;married;unknown;no;4623;no;no;cellular;17;aug;348;1;-1;0;unknown;yes
26;management;single;tertiary;no;45;no;no;cellular;10;jul;1187;3;-1;0;unknown;yes
29;self-employed;single;tertiary;no;3290;no;no;cellular;12;may;430;1;50;3;success;yes
52;technician;married;secondary;no;0;yes;no;cellular;7;sep;211;1;294;1;failure;yes
46;admin.;married;secondary;no;70;yes;no;cellular;27;mar;229;2;-1;0;unknown;yes
36;technician;single;secondary;no;2511;yes;no;cellular;16;apr;700;5;-1;0;unknown;yes
32;blue-collar;single;secondary;no;400;no;no;cellular;4;may;268;3;-1;0;unknown;yes
69;retired;single;tertiary;no;2144;no;no;cellular;29;jul;417;1;184;4;success;yes
33;services;married;secondary;no;386;no;no;cellular;12;may;317;1;181;5;success;yes
